date,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-01-13,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0
2020-01-19,1,0,0,0,1,0,0,0
2020-01-20,0,0,0,0,1,0,0,0
2020-01-21,1,0,0,0,2,0,0,0
2020-01-22,4,0,0,0,6,0,0,1
2020-01-23,1,0,0,1,7,0,0,2
2020-01-24,1,0,0,0,8,0,0,2
2020-01-25,0,0,0,0,9,0,0,2
2020-01-26,2,0,0,0,11,0,0,2
2020-01-27,0,0,0,1,11,0,0,3
2020-01-28,0,0,0,0,11,0,0,3
2020-01-29,0,0,0,1,11,0,0,5
2020-01-30,1,0,0,0,12,0,0,5
2020-01-31,1,0,0,3,13,0,0,8
2020-02-01,0,0,0,0,14,0,0,8
2020-02-02,3,0,0,0,17,0,0,8
2020-02-03,2,0,0,3,19,0,0,11
2020-02-04,2,0,0,4,21,0,0,15
2020-02-05,0,0,0,0,22,0,0,15
2020-02-06,2,0,0,1,24,0,0,16
2020-02-07,1,0,0,0,25,0,0,16
2020-02-08,0,0,0,2,25,0,0,18
2020-02-09,0,0,0,0,25,0,0,18
2020-02-10,1,0,0,1,26,0,0,19
2020-02-11,0,0,0,1,26,0,0,20
2020-02-12,1,0,0,1,28,0,0,21
2020-02-13,2,0,0,1,30,0,0,22
2020-02-14,2,0,0,0,32,0,0,22
2020-02-15,0,0,0,3,32,0,0,26
2020-02-16,0,0,0,2,32,0,0,28
2020-02-17,2,0,0,1,44,0,0,29
2020-02-18,0,0,0,0,44,0,0,29
2020-02-19,1,0,0,6,45,0,0,35
2020-02-20,2,0,0,1,48,0,0,36
2020-02-21,6,0,0,1,54,0,0,37
2020-02-22,4,0,0,1,58,0,0,38
2020-02-23,1,0,0,0,59,0,0,38
2020-02-24,9,0,0,2,69,0,0,40
2020-02-25,5,0,0,1,76,0,0,41
2020-02-26,19,2,0,0,95,2,0,41
2020-02-27,4,1,0,6445,99,3,0,6487
2020-02-28,8,2,0,3,108,5,0,6490
